GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
etudiant-backend,com.openclassrooms.etudiant,EtudiantBackendApplication,5,3,0,0,2,1,1,1,1,1
etudiant-backend,com.openclassrooms.etudiant.mapper,UserDtoMapperImpl,2,27,1,1,1,8,1,2,0,2
etudiant-backend,com.openclassrooms.etudiant.mapper,StudentDtoMapperImpl,9,60,5,5,4,19,5,4,0,4
etudiant-backend,com.openclassrooms.etudiant.controller,StudentController,0,93,0,0,0,17,0,7,0,7
etudiant-backend,com.openclassrooms.etudiant.controller,UserController,0,35,0,0,0,5,0,3,0,3
etudiant-backend,com.openclassrooms.etudiant.handler,ErrorDetails,147,21,30,0,2,4,23,4,8,4
etudiant-backend,com.openclassrooms.etudiant.handler,RestExceptionHandler,45,36,0,0,6,6,3,4,3,4
etudiant-backend,com.openclassrooms.etudiant.configuration,AppConfig,0,15,0,0,0,4,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.logging,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
etudiant-backend,com.openclassrooms.etudiant.dto,StudentPatchDTO,98,17,22,0,0,3,15,5,4,5
etudiant-backend,com.openclassrooms.etudiant.dto,StudentDTO,98,17,22,0,0,3,15,5,4,5
etudiant-backend,com.openclassrooms.etudiant.dto,StudentResponseDTO,217,38,46,0,1,7,28,11,5,11
etudiant-backend,com.openclassrooms.etudiant.dto,LoginRequestDTO,98,17,22,0,0,3,15,5,4,5
etudiant-backend,com.openclassrooms.etudiant.dto,LoginResponseDTO,69,9,14,0,1,2,12,2,5,2
etudiant-backend,com.openclassrooms.etudiant.dto,RegisterDTO,164,31,38,0,0,5,23,9,4,9
etudiant-backend,com.openclassrooms.etudiant.service,JwtService,1,68,2,2,0,16,2,6,0,6
etudiant-backend,com.openclassrooms.etudiant.service,StudentService,0,72,0,0,0,15,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.service,UserService,0,94,0,6,0,20,0,7,0,4
etudiant-backend,com.openclassrooms.etudiant.entities,Student,225,30,46,0,1,7,30,9,7,9
etudiant-backend,com.openclassrooms.etudiant.entities,User,319,35,61,1,10,6,47,10,16,10
etudiant-backend,com.openclassrooms.etudiant.configuration.security,SpringSecurityConfig,0,91,0,0,0,21,0,9,0,9
etudiant-backend,com.openclassrooms.etudiant.configuration.security,JwtAuthenticationFilter,1,73,4,6,1,17,4,3,0,2
etudiant-backend,com.openclassrooms.etudiant.configuration.security,CustomUserDetailService,6,15,0,0,0,3,1,2,1,2
